3846	advoc	2
4211	advocaci	2
630	ae	5
1123	aerat	3
995	aerial	3
2433	aerob	3
4246	aerobrak	2
4589	aerodynam	3
4974	aeronaut	3
1886	aerosol	3
889	aerospac	4
1800	aesthet	3
3863	afc	2
2516	affair	3
2699	affect	99
833	affin	2
376	afford	14
147	aforement	6
3462	africa	11
3147	african	5
4006	ag	3
1008	age	25
3117	agenc	18
2434	agenda	5
3115	agent	22
2005	agglomer	2
2705	aggreg	24
2083	aggress	5
2245	agit	3
1004	ago	6
2829	agre	15
362	agreement	41
2828	agri	2
3752	agricultur	30
2826	agro	4
2077	ahead	6
4444	ahp	5
633	ai	2
1592	aid	19
2334	aidic	10
1589	aim	120
1588	air	124
3651	aircraft	4
1260	airflow	7
2017	airlin	2
636	al	24
2863	alarm	2
3228	albedo	2
4975	albeit	3
4946	alcohol	5
916	alert	2
4436	alga	5
1006	algorithm	69
5393	align	12
1321	alkali	8
4335	alkalin	4
473	allel	2
483	allevi	8
755	alli	2
3373	allianc	5
1091	alloc	23
1099	allow	146
1100	alloy	16
4024	almost	36
3655	alon	15
365	along	65
1679	alongsid	3
2208	alpha	2
4270	alreadi	39
816	also	434
4935	alter	11
3647	altern	128
4084	although	57
3633	altimetri	2
2709	altitud	4
4972	alumina	6
533	aluminium	7
4702	aluminum	12
4573	alway	22
635	am	3
537	ambient	16
4925	ambigu	2
1722	ambipolar	2
3622	ambit	2
842	ambiti	6
5366	amen	2
1881	america	13
2170	american	64
1977	amf	2
4225	amin	3
1921	amino	5
2375	ammonia	8
3034	ammonium	3
3286	among	95
4825	amongst	7
1640	amorph	6
2078	amount	115
1979	amp	18
1909	amplif	4
618	amplifi	10
2355	amplitud	9
3465	anaerob	17
1901	anali	3
861	analog	14
818	analogu	2
4695	analys	84
1865	analysi	322
4694	analyt	42
4693	analyz	185
2931	anchor	2
3931	ancient	2
814	ancillari	7
4599	anecdot	2
1866	angel	2
1489	angl	31
1850	angular	4
2146	anhydr	2
2789	anim	11
4662	ann	8
1205	anneal	9
5140	announc	7
3654	annual	38
375	annulu	2
4677	annum	2
2244	anod	13
4007	anomali	3
2103	anoth	37
3408	ansi	2
2771	answer	12
1258	antar	2
2038	antenna	6
561	anthropogen	3
520	anti	9
5405	antibiot	2
2002	antibodi	3
4588	anticip	8
3806	antigen	2
1895	antioxid	2
2842	anxieti	2
1121	anyth	2
1868	anywher	2
4401	apart	3
5209	apc	2
1391	apertur	3
5207	api	2
93	apoapsi	2
83	appar	18
2515	apparatu	4
1724	appeal	6
1720	appear	47
4790	appetit	3
5474	appl	3
5203	appli	213
1573	applianc	14
2974	applic	316
3433	apprais	7
3648	appreci	7
4346	approach	218
3582	appropri	57
1782	approv	8
1781	approx	2
5204	approxim	64
5370	april	6
855	aquacultur	2
2721	aquat	2
4029	aqueou	10
1993	aquif	4
637	ar	2
2036	arabl	2
3415	aramco	2
3924	arbitrag	2
4404	arbitrari	12
4464	arbitrarili	3
5034	arc	18
1452	arch	2
4983	architect	5
3404	architectur	46
2094	archiv	3
1953	arctic	2
2020	area	160
2821	areva	2
1165	argon	3
1837	argu	9
2380	aris	24
4259	arizona	2
5038	arm	4
905	aromat	5
563	around	60
805	arrang	24
4639	array	39
845	arrheniu	3
5376	arriv	6
5030	art	32
5176	arteri	2
2056	articl	68
464	artifact	6
3182	artifici	10
2161	asc	9
5351	ascertain	3
421	ascrib	2
2165	ash	26
2015	ashra	5
